investigation_id,platform,type,content,date,engagement,url,metadata,sentiment_analysis,entity_analysis,toxicity_analysis,ai_summary
inv_1752734009802_mnfm63lgr,instagram,post,,2025-06-30T17:00:00,488118,https://instagram.com/p/DLiFUJeMkFM/,"{""shortcode"": ""DLiFUJeMkFM"", ""caption"": ""Netflix is teaming up with NASA to bring space a little closer to home! Beginning this summer, Netflix will begin to stream live rocket launches, astronaut spacewalks, mission coverage, and breathtaking live views of earth from the international space station."", ""likes"": 488118, ""comments"": 2959, ""date"": ""2025-06-30T17:00:00"", ""is_video"": false, ""url"": ""https://instagram.com/p/DLiFUJeMkFM/"", ""hashtags"": [], ""mentions"": []}",{},{},{},
inv_1752734009802_mnfm63lgr,instagram,post,,2025-06-24T15:58:09,458425,https://instagram.com/p/DLShYeCNfP2/,"{""shortcode"": ""DLShYeCNfP2"", ""caption"": ""Better luck in Casa Amor \u2014 this dramatic star pair needs a recoupling\ud83d\udca5\n\nGas and dust ejected by a dying star at the heart of this nebula came into focus, thanks to data from @NASAWebb.\n\nIts rings, which can only be seen in infrared light, look like \u201cfuzzy\u201d clumps arranged in tangled patterns, and a network of clearer holes close to the central stars shows where faster material punched through. The brighter star in the center is actually two stars that appear as one, which are set off with brilliant diffraction spikes. The stars follow a tight, elongated nine-year orbit and are draped in an arc of dust represented in orange.\n \nOne of these stars, which used to be several times more massive than our Sun, took the lead role in producing this scene. Once the star\u2019s outer layers were expelled, only its hot, compact core remained. As a white dwarf star, its winds both sped up and weakened, which might have swept up material into thin shells.\n \nThis scene has been forming for at least 4,000 years \u2014 and will continue to change over time.\n\nImage description: What looks like a single large, bright star (but is two) shines with bright purple diffraction spikes at the center of a large, diffuse cylinder of gas and dust that is tipped to the right. At the center is a bright pink clumpy cloud that takes up about 25% of the view. The pink region has some holes and diffuse areas. Beyond that are two large rings seen at a roughly 60-degree angle that appear joined at top left and bottom right. The edges are denser, and form shallow V-shapes that go inward. The rings appear orange at top left and bottom right, and are blue at bottom and center right. There is diffuse orange material around the body. The black background of space is speckled with tiny stars and galaxies mostly in blues and yellows.\n\nCredit:  NASA, ESA, CSA, STScI, NASA-JPL, Caltech, UCLA, Michael Ressler (NASA-JPL), Dave Jones (IAC)\n\n#NASA #Space #JWST #Telescope #Webb #Planetary #Nebula"", ""likes"": 458425, ""comments"": 1614, ""date"": ""2025-06-24T15:58:09"", ""is_video"": false, ""url"": ""https://instagram.com/p/DLShYeCNfP2/"", ""hashtags"": [""nasa"", ""space"", ""jwst"", ""telescope"", ""webb"", ""planetary"", ""nebula""], ""mentions"": [""nasawebb""]}",{},{},{},
inv_1752734009802_mnfm63lgr,instagram,post,,2025-05-16T18:10:15,343713,https://instagram.com/p/DJuVfuGz_TV/,"{""shortcode"": ""DJuVfuGz_TV"", ""caption"": ""Viewing Earth from the best seat in the house \ud83e\uddd1\ud83c\udffb\u200d\ud83d\ude80\n\nA starry night sky and an atmospheric glow blanket Earth's horizon in this image taken from the International Space Station (@ISS) as it orbited 257 miles (about 413 km) above Southeast Asia on Feb. 20, 2025.\n\nThe station\u2019s orbital path takes it over 90 percent of the Earth\u2019s population, with astronauts taking millions of images of the planet below. Check out more facts about the space station:\n\n- The International Space Station is larger than a six-bedroom house, with six sleeping quarters, two bathrooms, a gym, and a 360-degree-view window called the cupola.\n- The space station has been continuously occupied since November 2000.\n- Peggy Whitson holds the record among American astronauts for the most time spent in space, at 675 days.\n- The station travels a distance equivalent to the Moon and back in about a day.\n\nImage description: A picture of Southeast Asia taken from the International Space Station. Stars shine above Earth as its horizon glows in yellow. Extending from the bottom left, Singapore and Kuala Lumpur light up the coast of the Malay Peninsula in white and green. At the center, fishing boats and their lights dot the Gulf of Thailand and South China Sea.\n\nCredit: NASA/Don Pettit\n\n#NASA #Space #ISS #SpaceStation #NightSky #Singapore #Earth #Asia #Photography #Astronaut"", ""likes"": 343713, ""comments"": 1321, ""date"": ""2025-05-16T18:10:15"", ""is_video"": false, ""url"": ""https://instagram.com/p/DJuVfuGz_TV/"", ""hashtags"": [""nasa"", ""space"", ""iss"", ""spacestation"", ""nightsky"", ""singapore"", ""earth"", ""asia"", ""photography"", ""astronaut""], ""mentions"": [""iss""]}",{},{},{},
inv_1752734009802_mnfm63lgr,instagram,post,,2025-07-16T16:09:47,116512,https://instagram.com/p/DMLMM7Rt41a/,"{""shortcode"": ""DMLMM7Rt41a"", ""caption"": ""Got any cool photos from your latest trip?\n\nAstronaut Don Pettit has been to space four times: most recently, he spent 220 days on the International Space Station, returning to Earth in April 2025. Pettit grew space plants, printed 3D metal parts, and studied human health during his time in orbit. When he wasn't working on more formal studies, though, he found plenty of time for what he calls the \""science of opportunity:\"" exploring and experimenting with his surroundings through a combination of science and art.\n\nThis image, one of the countless photos Don Pettit took during his latest trip to the @ISS, shows off the stars of deep space set against the clouds of Earth, lit by the red upper atmospheric airglow. This photo was a 20-second exposure.\n\nImage description: Earth and space, as seen through a circular window. Points of light fill the top half of the image; near its middle, a fiery red line arcs above the blurry yellow-green Earth. A SpaceX Dragon spacecraft can be seen at the bottom of the image.\n\nCredit: NASA/Don Pettit\n\n#NASA #Space #SpaceStation #Astrophotography #Earth"", ""likes"": 116512, ""comments"": 330, ""date"": ""2025-07-16T16:09:47"", ""is_video"": false, ""url"": ""https://instagram.com/p/DMLMM7Rt41a/"", ""hashtags"": [""nasa"", ""space"", ""spacestation"", ""astrophotography"", ""earth""], ""mentions"": [""iss""]}",{},{},{},
inv_1752734009802_mnfm63lgr,instagram,post,,2025-07-15T16:21:33,263023,https://instagram.com/p/DMIov_qTffx/,"{""shortcode"": ""DMIov_qTffx"", ""caption"": ""Toe beans in space \ud83d\udc3e\n\nTo celebrate three years of studying the universe, @NASAWebb has clawed back the thick, dusty layers of a section within the Cat's Paw Nebula. With its infrared vision, our Webb telescope can peer through clouds of gas and dust to uncover what lies beneath. In this case, it's a set of blue, glowing regions of space which could be said to resemble the paw pads of a cat.\n\nThese toe beans appear to contain young stars shaping the surrounding gas and dust. Towards the center of this image, small, fiery red clumps mark regions where massive star formation is underway.\n\nThe Cat's Paw Nebula is approximately 4,000 light-years from Earth, and can be found in the constellation Scorpius. Visit nasa.gov/webb to get the full tail... um, tale behind this image.\n\nImage description: A section of the Cat\u2019s Paw Nebula. Four roughly circular areas are toward the center of the frame: a small oval toward the top left, a large circle in the top center, and two ovals at bottom left and right. Each circular area has a luminous blue glow. Brown-orange filaments of dust, which vary in density, surround these four bluish patches and stretch toward the frame\u2019s edges. At the center are small, fiery red clumps scattered among the brown dust. Many small, yellow-white stars are spread across the scene, some with eight-pointed diffraction spikes that are characteristic of Webb. \n\nCredit: NASA, ESA, CSA, STScI\n\n#NASA #Space #Universe #JWST #Cats"", ""likes"": 263023, ""comments"": 669, ""date"": ""2025-07-15T16:21:33"", ""is_video"": false, ""url"": ""https://instagram.com/p/DMIov_qTffx/"", ""hashtags"": [""nasa"", ""space"", ""universe"", ""jwst"", ""cats""], ""mentions"": [""nasawebb""]}",{},{},{},
inv_1752734009802_mnfm63lgr,instagram,post,,2025-07-14T15:57:29,317561,https://instagram.com/p/DMGBNF7O2Ns/,"{""shortcode"": ""DMGBNF7O2Ns"", ""caption"": ""We \u2764\ufe0f Pluto.\n\nTen years ago today\u2014on July 14, 2015\u2014our New Horizons spacecraft made history, flying less than 8,000 miles (13,000 km) over the surface of Pluto. In addition to taking our closest look ever at the distant, icy world, New Horizons also observed Charon, the largest of Pluto's five moons.\n\nNew Horizons studied the famous \""heart\"" on Pluto's surface: its left half, a sheet of nitrogen ice known as Sputnik Planitia, is so big that it literally changed how Pluto rotates. Thanks to New Horizons' photos and data, astronomers now think that Pluto could still have active cryovolcanoes, and may even hold a vast, liquid ocean sloshing beneath its surface.\n\nThis image is an enhanced-color view of Pluto, taken when New Horizons was about 280,000 miles (450,000 km) away.\n\nImage description: Pluto stands out in enhanced colors of red, white and tan. Its famous \""heart\"" can be seen near the middle of the image, stretching off into the darkness on the right horizon. The world's surface is pockmarked with craters of various sizes.\n\nCredit: NASA/APL/SwRI\n\n#NASA #Space #Universe #Pluto #NewHorizons"", ""likes"": 317561, ""comments"": 1269, ""date"": ""2025-07-14T15:57:29"", ""is_video"": false, ""url"": ""https://instagram.com/p/DMGBNF7O2Ns/"", ""hashtags"": [""nasa"", ""space"", ""universe"", ""pluto"", ""newhorizons""], ""mentions"": []}",{},{},{},
inv_1752734009802_mnfm63lgr,instagram,post,,2025-07-11T17:53:26,294932,https://instagram.com/p/DL-gFm7J0mQ/,"{""shortcode"": ""DL-gFm7J0mQ"", ""caption"": ""We tip our hat to this view \ud83e\udd20 \u2063\n \u2063\nLocated about 30 million light-years away from Earth in the constellation Virgo, the Sombrero Galaxy is famous for its distinctive shape resembling the brim of a wide hat. \u2063\n \u2063\nOn June 3, 2025, NASA\u2019s James Webb Space Telescope revealed a clearer view of how the galaxy got its name from the Spanish sombra, meaning \u2018shade.\u2019 Under a near-infrared camera, the central cluster of old stars at the galaxy\u2019s core glow brightly, while thick lanes of dust block starlight in the outer ring to create a shadowed disk. \u2063\n \u2063\nBut hold onto your hat: this galaxy may have a turbulent past. Studies suggest the Sombrero was shaped by a violent merger with at least one other galaxy. Webb\u2019s latest near-infrared view, combined with other NASA telescope observations at different wavelengths, help astronomers piece together how galaxies like the Sombrero form and evolve. \u2063\n \u2063\nImage description: NASA\u2019s James Webb Space Telescope\u2019s new image of the Sombrero galaxy in near-infrared wavelengths shows dust from the outer ring blocking starlight from the inner portions of the galaxy. A bright, central bulge of stars is surrounded by a darker, dusty ring that arcs across the image, giving the galaxy its hat-like appearance. The background is dotted with faint stars and galaxies. \u2063\n \u2063\nCredit: NASA, ESA, CSA, STScI \u2063\n \u2063\n#SombreroGalaxy #JamesWebbSpaceTelescope #NASA #Webb #Galaxy #VirgoConstellation"", ""likes"": 294932, ""comments"": 1013, ""date"": ""2025-07-11T17:53:26"", ""is_video"": false, ""url"": ""https://instagram.com/p/DL-gFm7J0mQ/"", ""hashtags"": [""sombrerogalaxy"", ""jameswebbspacetelescope"", ""nasa"", ""webb"", ""galaxy"", ""virgoconstellation""], ""mentions"": []}",{},{},{},
inv_1752734009802_mnfm63lgr,instagram,post,,2025-07-10T17:04:56,377255,https://instagram.com/p/DL71vjmunfy/,"{""shortcode"": ""DL71vjmunfy"", ""caption"": ""When that ol' Moon gets so big and bright \ud83c\udf15\u2063\n\u2063\nNASA astronaut @astro_christina took this photo of the July 16, 2019, full moon from the @ISS. While the space station crew observes lunar phases from about 260 miles (418 km) above us, you can join them and admire the Moon from the ground. Head outside on July 10 and take a look!\u2063\n\u2063\nLooking at the Moon with just your eyes, you\u2019ll see mostly areas of white and gray. The gray patches are solidified volcanic lava flows. The lighter-colored areas are called the highlands, and show the earliest crust on the Moon, dominated by a type of rock called anorthosite.\u2063\n\u2063\nWhat you see on the Moon with your eyes only will vary depending on your eyesight. Don\u2019t forget to give yourself plenty of time for your eyes to adjust and look carefully. If you have binoculars or a telescope, you\u2019ll be able to see more details, like Archimedes Crater \u2013 a depression that\u2019s 3/4 the size of Washington, D.C. \u2013 or the Sea of Tranquility, the site of the first Moon landing.\u2063\n\u2063\nImage description: The full moon is a silvery white circle in the dark night sky in this photo taken from the International Space Station. The bottom of the image has a soft haze over it, lightening the sky to a blue shade.\u2063\n\u2063\nCredit: NASA/Christina Koch\u2063\n\u2063\n#NASA #FullMoon #Moon #Astronomy #Night #Space"", ""likes"": 377255, ""comments"": 1058, ""date"": ""2025-07-10T17:04:56"", ""is_video"": false, ""url"": ""https://instagram.com/p/DL71vjmunfy/"", ""hashtags"": [""nasa"", ""fullmoon"", ""moon"", ""astronomy"", ""night"", ""space""], ""mentions"": [""astro_christina"", ""iss""]}",{},{},{},
inv_1752734009802_mnfm63lgr,instagram,post,,2025-07-09T16:08:25,154940,https://instagram.com/p/DL5KetROhWu/,"{""shortcode"": ""DL5KetROhWu"", ""caption"": ""At NASA, we\u2019re redefining the mirror selfie.\u2063\n\u2063\nAstronaut Zena Cardman pauses to inspect her spacesuit\u2019s wrist mirror, a small but crucial tool for reading suit displays and controls. This portrait, taken at @NASAJohnson in Houston, Texas, shows one of the many small moments of preparation in an astronaut\u2019s journey to spaceflight.\u2063\n\u2063\nCardman, a Virginia native, is gearing up for her first spaceflight to the International Space Station as part of our SpaceX Crew-11 mission, scheduled to launch later this summer. Selected in the \u201cTurtles\u201d astronaut class of 2017, she has a research background in geobiology, with degrees in biology and marine sciences from the University of North Carolina, Chapel Hill.\u2063\n\u2063\nHer experience includes multiple expeditions to Antarctica as part of her studies of life in extreme environments like caves and deep-sea sediments. Now, she\u2019s taking on the next frontier.\u2063\n\u2063\nThis photo was one of NASA\u2019s 2024 Photos of the Year, capturing the calm determination required in every moment of an astronaut\u2019s training\u2014even routine spacesuit checks.\u2063\n\u2063\nImage description: Astronaut Zena Cardman wears a white spacesuit and looks down while adjusting a small mirror on her wrist, attached to her left glove. She is photographed against a dark background at Johnson Space Center.\u2063\n\u2063\nCredit: NASA/Josh Valcarcel\u2063\n\u2063\n#NASA #Astronaut #SpaceX #NASAPhotoOfTheYear #MirrorSelfie"", ""likes"": 154940, ""comments"": 437, ""date"": ""2025-07-09T16:08:25"", ""is_video"": false, ""url"": ""https://instagram.com/p/DL5KetROhWu/"", ""hashtags"": [""nasa"", ""astronaut"", ""spacex"", ""nasaphotooftheyear"", ""mirrorselfie""], ""mentions"": [""nasajohnson""]}",{},{},{},
inv_1752734009802_mnfm63lgr,instagram,post,,2025-07-07T17:58:54,404999,https://instagram.com/p/DL0NiFvz1ZV/,"{""shortcode"": ""DL0NiFvz1ZV"", ""caption"": ""Nothing like a clear view\u2063\n \u2063\n@NASAHubble captured an image of this previously unexplored globular cluster in the Milky Way, Palomar 8. A globular cluster is a collection of tens of thousands to millions of stars tightly bound together by gravity in a spherical shape \u2013 like a globe. Globular clusters generally form early in the galaxies\u2019 histories in regions rich in gas and dust. Since the stars form from the same cloud of gas as it collapses, they typically hover around the same age.\u2063\n \u2063\nThe density of stars at the centers of these groupings is so high that individual stars are hard to discern, even with powerful telescopes on Earth. However, Hubble can! This image is part of a study that uses Hubble to distinguish individual stars of the entire globular cluster system of the Milky Way. These observations will give us key information on the early stages of our galaxy.\u2063\n \u2063\nImage description: Bright stars cluster against a black background. The stars are more densely concentrated in the center of the image. The stars appear mostly white, but bright red and blue stars are also visible sprinkled throughout the image.\u2063\n\u2063\nCredit: NASA, ESA, and D. Massari (INAF \u2014 Osservatorio di Astrofisica e Scienza dello Spazio); Processing: Gladys Kober (NASA/Catholic University of America)\u2063\n \u2063\n#NASA #Stars #MilkyWay #Galaxy #Hubble #Astronomy"", ""likes"": 404999, ""comments"": 1182, ""date"": ""2025-07-07T17:58:54"", ""is_video"": false, ""url"": ""https://instagram.com/p/DL0NiFvz1ZV/"", ""hashtags"": [""nasa"", ""stars"", ""milkyway"", ""galaxy"", ""hubble"", ""astronomy""], ""mentions"": []}",{},{},{},
